,Acc_superm,Acc_postof,Acc_parks_,Acc_jobs_t,Acc_hospit
9085,10,3,21,16870,0
9086,39,4,34,48142,1
9087,15,4,25,30795,0
9088,17,2,29,27327,0
9089,14,2,21,10979,0
9090,15,2,22,61610,2
9091,2,1,2,1375,0
9092,0,0,1,137,0
9093,12,3,18,14118,0
9094,4,0,10,3160,0
9095,1,0,1,506,0
9096,0,0,0,391,0
9097,4,0,7,2798,0
9098,12,1,14,14464,0
9099,28,6,47,40895,0
9100,0,0,2,909,0
9101,5,0,2,3175,0
9102,14,4,27,23033,1
9103,11,1,16,15482,1
9104,9,1,11,10681,1
9105,26,5,58,46094,0
9106,11,2,31,55045,0
9107,6,2,15,10442,0
9108,1,0,4,2179,1
9109,37,5,31,48060,1
9110,5,2,10,15435,1
9111,2,0,0,2298,0
9112,1,0,1,612,0
9113,54,6,37,166888,1
9114,43,7,56,124076,2
9115,16,2,23,12632,0
9116,12,2,17,9186,0
9117,8,2,9,8917,0
9118,24,2,32,18214,2
9119,6,1,3,12758,0
9120,0,0,5,286,0
9121,2,1,2,2655,0
9122,13,2,29,40247,1
9123,4,3,4,21823,1
9124,5,0,4,14304,0
9125,23,3,11,26489,1
9126,12,2,9,17857,1
9127,5,1,19,14949,0
9128,26,4,21,46201,1
9129,15,2,8,27237,1
9130,21,6,23,35646,1
9131,10,3,20,132709,1
9132,47,6,60,183467,2
9133,5,1,10,4561,0
9134,31,5,40,23003,2
9135,3,5,2,113496,0
9136,0,0,0,419,0
9137,0,0,0,4410,0
9138,1,0,4,729,0
9139,8,1,6,24625,1
9140,1,0,0,1540,0
9141,8,1,7,16594,2
9142,28,11,71,256462,5
9143,1,1,6,4529,1
9144,11,2,12,13795,1
9145,7,4,16,15748,1
9146,1,0,0,6706,0
9147,4,0,7,7028,1
9148,8,2,16,11310,0
9149,22,10,47,176394,4
9150,8,3,17,8925,0
9151,3,1,10,6110,0
9152,36,5,50,175140,1
9153,7,0,11,5525,0
9154,8,2,9,8915,0
9155,0,0,2,488,0
9156,30,10,60,233909,4
9157,9,3,12,52366,1
9158,25,4,36,25483,1
9159,5,2,10,12571,1
9160,23,4,13,39153,2
9161,5,2,5,11515,0
9162,12,1,16,6216,0
9163,17,4,32,30925,1
9164,41,5,51,176071,1
9165,16,4,21,19717,0
9166,10,3,25,16641,0
9167,50,6,71,91028,2
9168,0,0,4,21088,0
9169,24,3,44,50877,0
9170,9,1,10,18569,2
9171,14,1,22,10501,0
9172,8,1,8,16411,0
9173,8,1,12,11783,0
9174,16,4,29,36530,1
9175,12,4,49,87221,3
9176,2,0,4,1186,0
9177,3,0,5,3991,0
9178,1,0,2,2788,0
9179,13,4,28,22735,1
9180,8,2,13,7177,0
9181,9,4,21,47874,1
9182,5,2,16,10204,0
9183,7,3,5,29413,0
9184,36,6,24,46742,2
9185,25,3,14,67396,1
9186,0,0,1,423,0
9187,9,6,22,24981,1
9188,10,3,13,16517,0
9189,1,0,2,2515,0
9190,23,9,36,108583,4
9191,20,5,25,32794,1
9192,14,4,21,22372,0
9193,26,2,31,26774,1
9194,17,8,41,50881,1
9195,5,2,9,16793,1
9196,19,4,31,29568,0
9197,5,1,6,2082,0
9198,4,0,10,3096,0
9199,5,2,3,30385,0
9200,12,2,9,8116,0
9201,11,1,11,9284,1
9202,0,0,0,6233,0
9203,24,7,56,49767,0
9204,7,1,13,7907,0
9205,4,3,29,44185,2
9206,0,0,0,126,0
9207,24,5,32,29699,1
9208,58,10,88,285798,5
9209,11,3,13,13586,0
9210,27,4,29,37880,0
9211,22,2,16,36450,2
9212,4,1,8,4839,0
9213,10,2,11,19456,1
9214,52,6,48,61082,2
9215,7,2,14,11461,0
9216,1,0,2,1195,0
9217,12,4,18,75319,2
9218,7,0,4,5477,0
9219,2,0,5,21546,1
9220,13,2,26,22317,0
9221,31,4,28,52939,1
9222,2,4,5,80105,0
9223,0,0,0,377,0
9224,79,11,92,239222,4
9225,1,0,2,2574,0
9226,0,0,1,481,0
9227,0,0,2,565,0
9228,0,0,3,58,0
9229,8,1,11,6088,0
9230,17,3,9,24621,1
9231,19,6,40,53508,1
9232,13,5,17,25797,1
9233,14,3,25,27073,0
9234,17,2,25,16141,1
9235,8,4,18,19444,1
9236,14,1,16,11238,1
9237,16,1,11,17731,1
9238,0,0,4,21621,0
9239,17,3,11,18611,1
9240,12,2,9,8112,0
9241,23,6,35,32766,2
9242,8,2,16,11835,0
9243,5,0,4,4108,0
9244,21,5,50,42095,0
9245,4,1,4,3999,0
9246,0,0,4,976,0
9247,42,5,44,44811,1
9248,7,3,9,37666,1
9249,8,1,11,7229,1
9250,4,0,5,31799,1
9251,14,1,19,6863,0
9252,21,6,26,30375,2
9253,22,4,13,31246,1
9254,5,2,4,7291,1
9255,6,2,1,41932,0
9256,11,1,15,13801,0
9257,4,0,3,5178,0
9258,37,5,15,35455,2
9259,1,0,10,2569,0
9260,37,5,29,69445,0
9261,7,3,39,61342,2
9262,8,5,30,60817,2
9263,58,6,46,191466,1
9264,0,0,2,433,0
9265,8,4,21,36695,1
9266,13,5,16,25539,2
9267,9,2,17,15716,1
9268,5,1,13,5207,0
9269,34,7,38,81758,1
9270,7,2,16,13388,0
9271,0,0,0,2351,1
9272,13,6,41,131418,2
9273,5,3,10,23449,1
9274,5,1,2,6237,0
9275,11,1,10,3862,0
9276,2,0,2,957,0
9277,0,0,1,556,0
9278,33,5,43,198211,1
9279,4,0,1,5043,0
9280,1,0,2,1818,0
9281,0,0,1,1328,0
9282,16,2,19,17215,1
9283,15,4,57,33958,0
9284,0,0,0,0,0
9285,12,4,41,55844,1
9286,16,1,24,14707,1
9287,12,2,13,11550,1
9288,13,2,26,21598,0
9289,0,0,3,573,0
9290,13,4,14,27609,2
9291,26,5,15,74919,1
9292,31,7,52,55975,0
9293,6,4,16,15330,1
9294,29,6,47,41580,1
9295,2,1,12,12465,1
9296,0,0,4,39670,0
9297,1,1,3,1848,0
9298,1,0,1,612,0
9299,21,2,19,46608,1
9300,0,0,1,566,0
9301,2,0,0,9695,0
9302,9,2,7,24798,0
9303,5,1,7,7560,1
9304,5,2,8,13557,1
9305,10,2,20,69223,2
9306,8,3,13,33216,1
9307,11,2,24,31443,0
9308,20,3,24,129732,1
9309,45,6,59,188241,2
9310,19,3,15,30104,2
9311,8,0,5,17063,0
9312,23,2,13,32496,1
9313,4,0,7,2717,0
9314,11,6,9,132050,0
9315,19,3,15,37611,1
9316,4,1,10,4722,0
9317,0,0,0,1619,0
9318,34,3,30,39625,1
9319,15,2,7,13856,1
9320,3,2,6,14756,0
9321,2,0,1,1382,0
9322,0,0,0,6178,0
9323,34,7,40,40981,2
9324,19,5,14,48690,0
9325,8,3,6,44734,0
9326,15,5,35,80030,2
9327,8,3,12,13402,0
9328,18,4,19,19560,1
9329,17,3,9,24661,1
9330,13,2,8,22060,1
9331,20,5,13,31329,1
9332,8,0,3,16384,0
9333,4,1,12,5086,0
9334,20,5,35,35815,1
9335,5,1,4,12566,0
9336,7,3,12,24719,1
9337,8,0,11,4586,0
9338,13,5,24,28951,0
9339,4,1,9,4097,0
9340,2,0,4,1205,0
9341,0,0,0,1129,0
9342,8,2,7,20986,1
9343,0,0,0,2,0
9344,13,5,7,58430,0
9345,25,4,43,37759,0
9346,7,0,12,5726,0
9347,4,2,5,31161,1
9348,1,0,0,9369,0
9349,3,1,2,3638,0
9350,19,4,10,23236,2
9351,9,2,21,25305,1
9352,0,0,2,829,0
9353,4,0,1,3414,1
9354,4,1,4,16543,1
9355,20,3,20,48980,0
9356,8,3,16,29658,0
9357,5,3,7,38301,1
9358,11,2,9,12727,1
9359,1,0,0,2064,0
9360,0,0,3,352,0
9361,8,3,10,7725,0
9362,4,1,10,3660,0
9363,1,0,3,2842,0
9364,8,5,20,55379,3
9365,1,0,2,2971,0
9366,4,1,2,3388,1
9367,11,7,26,45783,1
9368,6,2,6,36799,1
9369,66,7,63,135606,2
9370,0,0,0,443,0
9371,0,0,0,252,0
